| Sheet | DPI | Markers used | Fits | Residual RMS, median / 90th percentile (in) | Worst bull, median / 90th percentile (in) | Mean bull, median (in) |
| sheet 3, the control | 300 | 25 of 34 | 40 | 0.00197 / 0.00201 | 0.00309 / 0.00363 | 0.00132 |
| sheet 3, the control | 300 | 30 of 34 | 40 | 0.00194 / 0.00197 | 0.00305 / 0.00322 | 0.00131 |
| sheet 3, the control | 300 | 34 of 34 | 1 | 0.00194 / 0.00194 | 0.00295 / 0.00295 | 0.00131 |
| GL-LR300-T tile 1 | 600 | 9 of 9, as printed | 1 | 0.00181 | 0.00254 | 0.00203 |
| GL-LR300-T tile 2 | 600 | 9 of 9, as printed | 1 | 0.00165 | 0.00267 | 0.00193 |
| GL-LR300-T tile 3 | 600 | 9 of 9, as printed | 1 | 0.00145 | 0.00325 | 0.00217 |
| GL-LR300-T tile 4 | 600 | 9 of 9, as printed | 1 | 0.00195 | 0.00317 | 0.00189 |
| GL-LR300-T tile 1 | 300 | 9 of 9, as printed | 1 | 0.00178 | 0.00311 | 0.00211 |
| GL-LR300-T tile 2 | 300 | 9 of 9, as printed | 1 | 0.00189 | 0.00279 | 0.00227 |
| GL-LR300-T tile 3 | 300 | 9 of 9, as printed | 1 | 0.00180 | 0.00358 | 0.00244 |
| GL-LR300-T tile 4 | 300 | 9 of 9, as printed | 1 | 0.00189 | 0.00316 | 0.00224 |
